timestamp,power,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity
2018/6/30 16:00,0,0,0,26.47,54.44
2018/6/30 16:15,0,0,0,26.24,55.63
2018/6/30 16:30,0,0,0,26.03,56.73
2018/6/30 16:45,0,0,0,25.8,57.87
2018/6/30 17:00,0,0,0,25.59,58.97
2018/6/30 17:15,0,0,0,25.43,59.99
2018/6/30 17:30,0,0,0,25.24,61.15
2018/6/30 17:45,0,0,0,25.04,62.44
2018/6/30 18:00,0,0,0,24.83,63.87
2018/6/30 18:15,0,0,0,24.65,65.37
2018/6/30 18:30,0,0,0,24.47,66.98
2018/6/30 18:45,0,0,0,24.28,68.63
2018/6/30 19:00,0,0,0,24.12,70.18
2018/6/30 19:15,0,0,0,23.97,71.68
2018/6/30 19:30,0,0,0,23.84,73.04
2018/6/30 19:45,0,0,0,23.69,74.4
2018/6/30 20:00,0,0,0,23.56,75.65
2018/6/30 20:15,0,0,0,23.43,76.88
2018/6/30 20:30,0,0,0,23.3,78.05
2018/6/30 20:45,0,0,0,23.17,79.17
2018/6/30 21:00,0,1.76,0.2,23.05,80.15
2018/6/30 21:15,0.088799,29.31,16.92,23.17,80.05
2018/6/30 21:30,0.319675,54.86,37.07,23.39,79.45
2018/6/30 21:45,0.67487,98.58,74.62,23.86,77.68
2018/6/30 22:00,0.959026,130.01,102.81,24.3,75.93
2018/6/30 22:15,1.189902,179.35,148.1,24.82,73.95
2018/6/30 22:30,2.060129,213.23,179.69,25.41,71.5
2018/6/30 22:45,2.433083,264.84,228.3,25.83,69.88
2018/6/30 23:00,3.001395,299.51,261.21,26.29,68.7
2018/6/30 23:15,3.942661,351.49,310.82,26.86,67.03
2018/6/30 23:30,4.919446,385.96,343.88,27.45,62.88
2018/6/30 23:45,5.896231,437.04,393.02,27.9,61.49
2018/7/1 0:00,6.819737,470.45,425.24,28.38,60.2
2018/7/1 0:15,7.796523,519.17,472.35,28.89,56.47
2018/7/1 0:30,8.61347,550.64,502.81,29.28,55.32
2018/7/1 0:45,9.252821,596.02,546.83,29.69,52.28
2018/7/1 1:00,10.30064,624.89,574.88,30.04,49.94
2018/7/1 1:15,11.04655,665.98,614.82,30.31,48.56
2018/7/1 1:30,12.0411,691.66,639.82,30.54,48.08
2018/7/1 1:45,12.53837,727.48,674.7,30.75,47.73
2018/7/1 2:00,13.51516,749.5,696.16,30.91,47.47
2018/7/1 2:15,14.11899,779.6,725.51,31.04,47.08
2018/7/1 2:30,14.72282,797.58,743.05,31.12,46.8
2018/7/1 2:45,15.11353,821.4,766.29,31.14,46.87
2018/7/1 3:00,14.65178,835.08,779.64,31.12,47.19
2018/7/1 3:15,15.62856,852.19,796.35,31.1,47.29
2018/7/1 3:30,15.48649,861.19,805.14,31.13,47.16
2018/7/1 3:45,14.36762,871.07,814.78,31.17,46.87
2018/7/1 4:00,15.43321,875.11,818.73,31.21,46.7
2018/7/1 4:15,12.91133,877.26,820.84,31.22,46.85
2018/7/1 4:30,7.743244,876.12,819.73,31.15,47.41
2018/7/1 4:45,12.64493,870.52,814.27,31.02,48.16
2018/7/1 5:00,7.885322,864.49,808.4,30.86,48.72
2018/7/1 5:15,10.7624,851.98,796.19,30.74,49.12
2018/7/1 5:30,15.27337,841.12,785.59,30.65,49.57
2018/7/1 5:45,12.69821,821.29,766.25,30.55,50.11
2018/7/1 6:00,14.72282,805.82,751.16,30.45,50.77
2018/7/1 6:15,8.933146,779.28,725.29,30.37,51.23
2018/7/1 6:30,12.68045,759.41,705.93,30.28,51.73
2018/7/1 6:45,11.88126,726.51,673.88,30.13,52.53
2018/7/1 7:00,12.14766,702.57,650.56,29.95,53.34
2018/7/1 7:15,11.41951,663.79,612.82,29.73,54.3
2018/7/1 7:30,10.63808,636.2,586,29.48,55.44
2018/7/1 7:45,9.732333,592.54,543.58,29.16,56.61
2018/7/1 8:00,8.595711,562.19,514.15,28.92,57.2
2018/7/1 8:15,7.707724,514.92,468.37,28.76,57.44
2018/7/1 8:30,6.801978,482.3,436.83,28.69,58.06
2018/7/1 8:45,5.860712,431.84,388.16,28.57,59.2
2018/7/1 9:00,4.848407,396.53,354.25,28.43,60.62
2018/7/1 9:15,3.871622,340.99,301.24,28.18,62.79
2018/7/1 9:30,3.019155,298.86,261.61,27.87,65.03
2018/7/1 9:45,2.255486,238.12,204.84,27.48,67.29
2018/7/1 10:00,1.633895,195.7,165.84,27.16,68.77
2018/7/1 10:15,1.136623,143.48,117.95,26.87,69.9
2018/7/1 10:30,0.816948,111.29,88.92,26.64,70.91
